certification_id,supplier_id,supplier_name_normalized,cert_name_raw,cert_name_normalized,expiry_date_raw,expiry_date,source_file,source_sheet,source_row,source_column
CERT_8744509543819718134,SUP_6200629265699544338,CE.CA.SA. S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1035709668429001580,SUP_6200629265699544338,CE.CA.SA. S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_6420745558869507442,SUP_364703117488594412,CELTE S.P.A.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_6644136685575692588,SUP_364703117488594412,CELTE S.P.A.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1926723770784224839,SUP_1036693177035908593,CIRCUITI STAMPATI S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3455138058480126747,SUP_1036693177035908593,CIRCUITI STAMPATI S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_5788226954876044573,SUP_1219416752559146236,CISEL S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_7276655289569155457,SUP_1219416752559146236,CISEL S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_6382861889729574977,SUP_5320097176537901106,CISTELAIER S.P.A.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_7020836362073049685,SUP_5320097176537901106,CISTELAIER S.P.A.,ISO 9001:2015 / EN 9100:2018,ISO 9001:2015 / EN 9100:2018,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_4847694120173584023,SUP_808218281920533500,CML F.LLI LIBERATI SRL,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_5155581401154823724,SUP_808218281920533500,CML F.LLI LIBERATI SRL,ISO 9001:2015 - certificato n. IT312812,ISO 9001:2015 - CERTIFICATO N. IT312812,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3187019154903760533,SUP_6758147085173174577,COMELEC S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3187019154903760533,SUP_6758147085173174577,COMELEC S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
